Model,Drive,Fuel,Veh Class,Comb CO2
ACURA RDX,2WD,Gasoline,small SUV,386
ACURA RDX,2WD,Gasoline,small SUV,386
ACURA RDX,4WD,Gasoline,small SUV,402
ACURA RDX,4WD,Gasoline,small SUV,402
ACURA TLX,2WD,Gasoline,small car,330
ACURA TLX,2WD,Gasoline,small car,330
ACURA TLX,2WD,Gasoline,small car,368
ACURA TLX,2WD,Gasoline,small car,368
ACURA TLX,4WD,Gasoline,small car,369
ACURA TLX,4WD,Gasoline,small car,369
ACURA TLX AWD A-SPEC,4WD,Gasoline,small car,387
ACURA TLX AWD A-SPEC,4WD,Gasoline,small car,387
ACURA TLX FWD A-SPEC,2WD,Gasoline,small car,382
ACURA TLX FWD A-SPEC,2WD,Gasoline,small car,382
ALFA ROMEO Stelvio AWD,4WD,Gasoline,small SUV,364
AUDI A4,4WD,Gasoline,small car,327
AUDI A4,4WD,Gasoline,small car,327
AUDI A4,4WD,Gasoline,small car,327
AUDI A4,4WD,Gasoline,small car,327
AUDI A5,4WD,Gasoline,small car,327
AUDI A5,4WD,Gasoline,small car,327
AUDI A5,4WD,Gasoline,small car,327
AUDI A5,4WD,Gasoline,small car,327
AUDI A5 Cabriolet,4WD,Gasoline,small car,327
AUDI A5 Cabriolet,4WD,Gasoline,small car,327
AUDI A5 Sportback quattro,4WD,Gasoline,midsize car,327
AUDI A5 Sportback quattro,4WD,Gasoline,midsize car,327
AUDI A6,2WD,Gasoline,midsize car,311
AUDI A6,2WD,Gasoline,midsize car,311
AUDI A6,4WD,Gasoline,midsize car,347
AUDI A6,4WD,Gasoline,midsize car,347
AUDI Q3,2WD,Gasoline,small car,380
AUDI Q3,2WD,Gasoline,small car,380
AUDI Q3,4WD,Gasoline,small car,387
AUDI Q3,4WD,Gasoline,small car,387
AUDI Q5,4WD,Gasoline,small SUV,363
AUDI Q5,4WD,Gasoline,small SUV,363
AUDI S4,4WD,Gasoline,small car,374
AUDI S4,4WD,Gasoline,small car,374
AUDI S5,4WD,Gasoline,small car,374
AUDI S5,4WD,Gasoline,small car,374
AUDI S5 Cabriolet,4WD,Gasoline,small car,384
AUDI S5 Cabriolet,4WD,Gasoline,small car,384
AUDI S5 Sportback,4WD,Gasoline,midsize car,374
AUDI S5 Sportback,4WD,Gasoline,midsize car,374
AUDI SQ5,4WD,Gasoline,small SUV,434
AUDI SQ5,4WD,Gasoline,small SUV,434
AUDI allroad quattro,4WD,Gasoline,station wagon,350
AUDI allroad quattro,4WD,Gasoline,station wagon,350
BENTLEY Bentayga,4WD,Gasoline,standard SUV,596
BENTLEY Bentayga,4WD,Gasoline,standard SUV,596
BMW 430i Convertible,2WD,Gasoline,small car,324
BMW 430i Convertible,2WD,Gasoline,small car,324
BMW 430i Convertible,4WD,Gasoline,small car,343
BMW 430i Convertible,4WD,Gasoline,small car,343
BMW 430i Coupe,2WD,Gasoline,small car,351
BMW 430i Coupe,2WD,Gasoline,small car,351
BMW 430i Coupe,2WD,Gasoline,small car,324
BMW 430i Coupe,2WD,Gasoline,small car,324
BMW 430i Coupe,4WD,Gasoline,small car,333
BMW 430i Coupe,4WD,Gasoline,small car,333
BMW 430i Gran Coupe,2WD,Gasoline,small car,324
BMW 430i Gran Coupe,2WD,Gasoline,small car,324
BMW 430i Gran Coupe,4WD,Gasoline,small car,333
BMW 430i Gran Coupe,4WD,Gasoline,small car,333
BMW 440i Convertible,2WD,Gasoline,small car,372
BMW 440i Convertible,2WD,Gasoline,small car,372
BMW 440i Convertible,4WD,Gasoline,small car,382
BMW 440i Convertible,4WD,Gasoline,small car,382
BMW 440i Coupe,4WD,Gasoline,small car,390
BMW 440i Coupe,4WD,Gasoline,small car,390
BMW 440i Coupe,2WD,Gasoline,small car,352
BMW 440i Coupe,2WD,Gasoline,small car,352
BMW 440i Coupe,4WD,Gasoline,small car,357
BMW 440i Coupe,4WD,Gasoline,small car,357
BMW 440i Gran Coupe,2WD,Gasoline,small car,352
BMW 440i Gran Coupe,2WD,Gasoline,small car,352
BMW 440i Gran Coupe,4WD,Gasoline,small car,357
BMW 440i Gran Coupe,4WD,Gasoline,small car,357
BMW 530e,2WD,Gasoline/Electricity,small car,193
BMW 530e,2WD,Gasoline/Electricity,small car,193
BMW 530e,4WD,Gasoline/Electricity,small car,200
BMW 530e,4WD,Gasoline/Electricity,small car,200
